Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-08-11,0.324, 1984,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-08-21,0.288, 1984,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-09-01,0.334, 1984,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-09-11,0.471, 1984,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-09-21,0.532, 1984,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-10-01,0.531, 1984,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-10-11,0.446, 1984,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-10-21,0.504, 1984,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-11-01,0.397, 1984,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-11-11,0.446, 1984,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-11-21,0.445, 1984,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-12-01,0.47, 1984,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-12-11,0.433, 1984,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-12-21,0.46, 1984,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-01-01,0.504, 1985,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-01-11,0.441, 1985,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-01-21,0.437, 1985,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-02-01,0.491, 1985,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-02-11,0.504, 1985,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-02-21,0.505, 1985,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-03-01,0.518, 1985,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-03-11,0.485, 1985,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-03-21,0.357, 1985,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-04-01,0.283, 1985,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-04-11,0.386, 1985,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-04-21,0.445, 1985,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-05-01,0.415, 1985,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-05-11,0.365, 1985,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-05-21,0.317, 1985,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-06-01,0.317, 1985,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-06-11,0.286, 1985,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-06-21,0.253, 1985,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-07-01,0.215, 1985,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-07-11,0.213, 1985,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-07-21,0.245, 1985,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-08-01,0.267, 1985,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-08-11,0.325, 1985,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-08-21,0.331, 1985,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-09-01,0.404, 1985,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-09-11,0.477, 1985,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-09-21,0.506, 1985,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-10-01,0.501, 1985,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-10-11,0.41, 1985,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-10-21,0.365, 1985,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-11-01,0.289, 1985,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-11-11,0.328, 1985,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-11-21,0.354, 1985,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-12-01,0.371, 1985,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-12-11,0.383, 1985,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1985-12-21,0.362, 1985,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-01-01,0.38, 1986,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-01-11,0.288, 1986,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-01-21,0.283, 1986,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-02-01,0.332, 1986,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-02-11,0.348, 1986,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-02-21,0.327, 1986,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-03-01,0.325, 1986,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-03-11,0.322, 1986,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-03-21,0.294, 1986,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-04-01,0.357, 1986,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-04-11,0.392, 1986,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-04-21,0.379, 1986,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-05-01,0.373, 1986,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-05-11,0.352, 1986,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-05-21,0.299, 1986,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-06-01,0.374, 1986,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-06-11,0.258, 1986,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-06-21,0.199, 1986,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-07-01,0.131, 1986,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-07-11,0.131, 1986,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-07-21,0.2, 1986,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-08-01,0.134, 1986,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-08-11,0.219, 1986,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-08-21,0.26, 1986,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-09-01,0.374, 1986,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-09-11,0.702, 1986,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-09-21,0.807, 1986,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-10-01,0.724, 1986,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-10-11,0.574, 1986,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-10-21,0.558, 1986,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-11-01,0.448, 1986,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-11-11,0.547, 1986,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-11-21,0.459, 1986,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-12-01,0.411, 1986,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-12-11,0.491, 1986,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1986-12-21,0.526, 1986,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-01-01,0.558, 1987,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-01-11,0.45, 1987,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-01-21,0.413, 1987,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-02-01,0.422, 1987,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-02-11,0.396, 1987,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-02-21,0.378, 1987,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-03-01,0.363, 1987,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-03-11,0.37, 1987,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-03-21,0.372, 1987,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-04-01,0.304, 1987,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-04-11,0.324, 1987,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-04-21,0.416, 1987,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-05-01,0.38, 1987,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-05-11,0.35, 1987,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-05-21,0.275, 1987,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-06-01,0.321, 1987,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-06-11,0.236, 1987,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-06-21,0.156, 1987,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-07-01,0.145, 1987,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-07-11,0.128, 1987,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-07-21,0.263, 1987,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-08-01,0.36, 1987,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-08-11,0.383, 1987,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-08-21,0.479, 1987,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-09-01,0.485, 1987,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-09-11,0.626, 1987,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-09-21,0.687, 1987,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-10-01,0.679, 1987,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-10-11,0.642, 1987,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-10-21,0.679, 1987,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-11-01,0.648, 1987,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-11-11,0.649, 1987,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-11-21,0.541, 1987,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-12-01,0.491, 1987,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-12-11,0.436, 1987,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1987-12-21,0.494, 1987,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-01-01,0.539, 1988,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-01-11,0.526, 1988,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-01-21,0.484, 1988,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-02-01,0.498, 1988,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-02-11,0.558, 1988,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-02-21,0.549, 1988,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-03-01,0.46, 1988,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-03-11,0.443, 1988,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-03-21,0.449, 1988,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-04-01,0.514, 1988,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-04-11,0.625, 1988,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-04-21,0.579, 1988,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-05-01,0.485, 1988,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-05-11,0.388, 1988,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-05-21,0.347, 1988,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-06-01,0.435, 1988,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-06-11,0.452, 1988,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-06-21,0.367, 1988,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-07-01,0.326, 1988,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-07-11,0.278, 1988,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-07-21,0.353, 1988,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-08-01,0.32, 1988,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-08-11,0.346, 1988,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-08-21,0.469, 1988,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-09-01,0.497, 1988,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-09-11,0.566, 1988,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-09-21,0.563, 1988,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-10-01,0.577, 1988,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-10-11,0.543, 1988,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-10-21,0.461, 1988,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-11-01,0.39, 1988,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-11-11,0.423, 1988,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-11-21,0.404, 1988,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-12-01,0.406, 1988,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-12-11,0.36, 1988,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1988-12-21,0.414, 1988,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-01-01,0.462, 1989,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-01-11,0.324, 1989,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-01-21,0.417, 1989,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-02-01,0.482, 1989,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-02-11,0.445, 1989,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-02-21,0.425, 1989,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-03-01,0.352, 1989,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-03-11,0.391, 1989,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-03-21,0.331, 1989,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-04-01,0.355, 1989,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-04-11,0.399, 1989,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-04-21,0.359, 1989,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-05-01,0.327, 1989,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-05-11,0.382, 1989,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-05-21,0.419, 1989,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-06-01,0.248, 1989,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-06-11,0.291, 1989,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-06-21,0.541, 1989,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-07-01,0.565, 1989,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-07-11,0.591, 1989,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-07-21,0.561, 1989,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-08-01,0.519, 1989,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-08-11,0.469, 1989,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-08-21,0.396, 1989,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-09-01,0.372, 1989,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-09-11,0.344, 1989,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-09-21,0.324, 1989,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-10-01,0.37, 1989,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-10-11,0.369, 1989,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-10-21,0.433, 1989,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-11-01,0.414, 1989,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-11-11,0.515, 1989,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-11-21,0.54, 1989,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-12-01,0.31, 1989,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-12-11,0.232, 1989,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1989-12-21,0.397, 1989,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-01-01,0.334, 1990,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-01-11,0.319, 1990,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-01-21,0.321, 1990,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-02-01,0.394, 1990,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-02-11,0.463, 1990,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-02-21,0.41, 1990,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-03-01,0.351, 1990,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-03-11,0.298, 1990,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-03-21,0.265, 1990,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-04-01,0.313, 1990,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-04-11,0.353, 1990,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-04-21,0.497, 1990,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-05-01,0.511, 1990,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-05-11,0.458, 1990,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-05-21,0.451, 1990,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-06-01,0.568, 1990,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-06-11,0.551, 1990,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-06-21,0.414, 1990,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-07-01,0.127, 1990,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-07-11,0.075, 1990,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-07-21,0.267, 1990,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-08-01,0.218, 1990,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-08-11,0.274, 1990,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-08-21,0.214, 1990,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-09-01,0.228, 1990,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-09-11,0.373, 1990,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-09-21,0.414, 1990,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1990-10-01,0.483, 1990,10,1, ,FAO-ASIS
