Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2002","2002","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2002","2002","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2003","2003","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2003","2003","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2004","2004","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2004","2004","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2005","2005","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2005","2005","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2006","2006","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2006","2006","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2007","2007","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2007","2007","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2008","2008","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2008","2008","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2009","2009","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2009","2009","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2010","2010","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2010","2010","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2011","2011","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2011","2011","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2012","2012","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2012","2012","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2013","2013","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2013","2013","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2014","2014","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2014","2014","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2015","2015","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2015","2015","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2016","2016","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2016","2016","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2017","2017","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2017","2017","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2018","2018","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2018","2018","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2019","2019","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2019","2019","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2020","2020","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2020","2020","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2021","2021","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01211","Asparagus","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01211","Asparagus","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1991","1991","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1991","1991","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1992","1992","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1992","1992","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1993","1993","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1993","1993","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1994","1994","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1994","1994","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1995","1995","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1995","1995","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1996","1996","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1996","1996","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1997","1997","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1997","1997","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1998","1998","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1998","1998","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","1999","1999","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","1999","1999","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2000","2000","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2000","2000","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2001","2001","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2001","2001","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2002","2002","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2002","2002","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2003","2003","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2003","2003","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2004","2004","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2004","2004","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2005","2005","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2005","2005","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2006","2006","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2006","2006","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2007","2007","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2007","2007","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2008","2008","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2008","2008","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2009","2009","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2009","2009","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2010","2010","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2010","2010","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2011","2011","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2011","2011","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2012","2012","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2012","2012","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2013","2013","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2013","2013","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2014","2014","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2014","2014","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2015","2015","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2015","2015","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2016","2016","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2016","2016","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2017","2017","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2017","2017","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2018","2018","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2018","2018","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2019","2019","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2019","2019","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2020","2020","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2020","2020","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2021","2021","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1961","1961","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1961","1961","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1962","1962","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1962","1962","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1963","1963","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1963","1963","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1964","1964","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1964","1964","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1965","1965","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1965","1965","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1966","1966","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1966","1966","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1967","1967","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1967","1967","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1968","1968","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1968","1968","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1969","1969","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1969","1969","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1970","1970","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1970","1970","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1971","1971","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1971","1971","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1972","1972","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1972","1972","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1973","1973","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1973","1973","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1974","1974","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1974","1974","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1975","1975","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1975","1975","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1976","1976","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1976","1976","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1977","1977","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1977","1977","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1978","1978","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1978","1978","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1979","1979","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1979","1979","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1980","1980","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1980","1980","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1981","1981","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1981","1981","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1982","1982","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1982","1982","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1983","1983","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1983","1983","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1984","1984","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1984","1984","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1985","1985","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1985","1985","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1986","1986","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1986","1986","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1987","1987","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1987","1987","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1988","1988","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1988","1988","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1989","1989","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1989","1989","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1990","1990","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1990","1990","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1991","1991","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1991","1991","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1992","1992","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1992","1992","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1993","1993","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1993","1993","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1994","1994","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1994","1994","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","1995","1995","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","1995","1995","t","0","M","Missing value (data cannot exist, not applicable)",""
